,instname,city,zip,tuition01,tuition02,tuition03,nettuition01,net_student_tuition,private03,stable_operating_rev,total03_revenue,total_enrollment,total_enrollment_amin_tot,total_enrollment_asian_tot,total_enrollment_black_tot,total_enrollment_hisp_tot,total_enrollment_white_tot,total_enrollment_multi_tot,total_enrollment_unkn_tot,total_enrollment_nonres_tot,total_executive_admin_managerial,total_faculty_all,full_time_employees,all_employees,salarytotal
270,BERLITZ LANGUAGE CENTERS,SAN ANTONIO,78228,,,,,,,,,,,,,,,,,,,,,,
271,TRI STATE SEMI DRIVER TRAINING INC,PALMER,75152,,,,,,,,,,,,,,,,,,,,,,
272,Medvance Institute-Houston,Houston,77057,,,442578.0,424475.0,366677.0,18103.0,463198.0,500404.0,,,,,,,,,,,,,,
273,Fortis College,Houston,77057,,,9065422.0,9065422.0,6626481.0,,9065422.0,9065422.0,724.0,2.0,4.0,311.0,281.0,47.0,6.0,71.0,2.0,7.0,29.0,55.0,62.0,
274,THE HOUSTON GALVESTON PSYCHOANALYTIC INSTITUTE,HOUSTON,770063908,,,,,,,,,,,,,,,,,,,,,,
275,The Academy of Health Care Professions-Northwest,Houston,77092,,,5790881.0,5790881.0,4037619.0,,6124478.0,6127933.0,383.0,1.0,9.0,71.0,192.0,91.0,1.0,18.0,0.0,,,,,732595.0
276,TEXAS SCHOOL OF BARTENDERS INC,HOUSTON,77098,,,,,,,,,,,,,,,,,,,,,,
277,ICC Technical Institute,Houston,77004-293,,,616978.0,616978.0,354034.0,,764397.0,501628.0,122.0,0.0,113.0,2.0,7.0,0.0,,0.0,0.0,,,,,
278,School of Hair Design,Texarkana,75503,,,179800.0,179800.0,0.0,,394303.0,394303.0,77.0,1.0,0.0,6.0,4.0,66.0,,0.0,0.0,,,,,
279,Sylvia's International School of Beauty,Houston,77091,,,592822.0,592822.0,413047.0,,624607.0,444832.0,204.0,0.0,3.0,14.0,167.0,20.0,,0.0,0.0,,,,,
280,College of Biblical Studies-Houston,Houston,77036-321,,,367770.0,367770.0,367770.0,1621509.0,493807.0,2132210.0,902.0,0.0,20.0,572.0,145.0,161.0,,4.0,0.0,,,,,
281,Houston Allied Health Careers Inc,Houston,77061-000,,,73427.0,73427.0,-98857.0,,104705.0,264059.0,,,,,,,,,,,,,,
282,CRAWFORDS BARBERING ACADEMY,BEAUMONT,77703,,,,,,,,,,,,,,,,,,,,,,
283,SHIRLEY BAKER CAREER INSTITUTE,HOUSTON,77092,,,1169123.0,1169123.0,916232.0,,1248294.0,1265066.0,200.0,0.0,0.0,55.0,27.0,116.0,,0.0,0.0,,,,,
284,AMARI INSTITUTE INC,HOUSTON,77092,,,,,,,,,,,,,,,,,,,,,,
285,A PROFESSIONAL,HOUSTON,77024,,,,,,,,,,,,,,,,,,,,,,
286,Star College of Cosmetology 2,Tyler,75702-821,,,467392.0,458891.0,328295.0,,545877.0,320682.0,43.0,0.0,0.0,0.0,0.0,19.0,,0.0,0.0,,,,,
287,METHODIST HOSPITAL SCHOOL OF MEDICAL TECHNOLOGY,HOUSTON,77030-2707,,,,,,,,,7.0,0.0,0.0,0.0,2.0,0.0,,0.0,0.0,4.0,13.0,0.0,19.0,
288,M WEEKS WELDING LABORATORY TESTING AND SCHOOL,NEDERLAND,77627,,,,,,,,,,,,,,,,,,,,,,
289,VISIBLE CHANGES UNIVERSITY,HOUSTON,77074,,,,,,,,,89.0,0.0,7.0,23.0,29.0,29.0,,0.0,0.0,,,,,
