i_id,city,state,zip
10169,Stony Brook,NY,11794
10170,Myrtle Beach,SC,29572
10171,Stratford,CT,6615
10172,Falls Church,VA,22043-240
10173,Washington,DC,20005
10174,Birmingham,AL,35243
10175,Little Rock,AR,72211
10176,Birmingham,AL,35243
10177,Newark,DE,19713
10178,Newark,DE,19713
10179,Washington,DC,20005
10180,Tampa,FL,33634
10181,Atlanta,GA,30341
10182,Washington,DC,20005
10183,Lexington,KY,40503
10184,Lexington,KY,40503
10185,Metairie,LA,70005
10186,Jackson,MS,39206
10187,Cherry Hill,NJ,8002
10188,Morrisville,NC,27560
10189,Mason,OH,45040
10190,Trevose,PA,19053
10191,Suitland,MD,20746
10192,Greenville,SC,29607
10193,Tampa,FL,33634
10194,Memphis,TN,38118
10195,Austin,TX,78759
10196,Sandy,UT,84070
10197,Washington,DC,20005
10198,Scott Depot,WV,25560
10199,Stroudsburg,PA,18360-172
10200,Chandler,AZ,85224
10201,New York,NY,10016-411
10202,Longview,WA,98632-302
10203,Lebanon,TN,37087
10204,Selmer,TN,38375
10205,Rock Hill,SC,29730
10206,Hempstead,NY,11550-371
10207,Merrillville,IN,46410
10208,Suffolk,VA,23434-302
10209,Selden,NY,11784-289
10210,Suffolk,VA,23434
10211,Boston,MA,2108
10212,Alpine,TX,79832
10213,Louisville,KY,40218
10214,Liberty,NY,12754
10215,Liberty,NY,12754
10216,Liberty,NY,12754
10217,Loch Sheldrake,NY,12759-515
10218,Louisville,KY,40205-301
10220,Minneapolis,MN,55405
10221,Colton,CA,92324
10222,Scotts Bluff,NE,69361
10223,Colton,CA,92324
10224,Northfield,OH,44067
10225,Woodland Park,CO,80866
10226,Portland,OR,97219
10227,Sumter,SC,29150-287
10229,Spring Valley,NY,10977
10230,Tampa,FL,33607
10232,Sunnyside,WA,98944
10233,Clearwater,FL,33764-270
10234,Lauderdale Lakes,FL,33311
10235,Olathe,KS,66061
10236,Dobson,NC,27017-843
10237,Dimock,PA,18816-010
10238,Selinsgrove,PA,17870-102
10239,Newton,NJ,7860
10240,Live Oak,FL,32064
10242,Swarthmore,PA,19081
10243,New York,NY,10001-670
10244,New York,NY,10001-6700
10246,Sweet Briar,VA,24595-999
10250,Houston,TX,77091
10251,Syracuse,NY,13202
